#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
286,PRIME1ICBA,4.4,4.4,4.4,0,4.4,0,5,0.151,"34,381"
287,PRIMEBANK,24.6,24.6,24.4,0,24.6,0,14,1.724,"70,065"
288,PRIMEFIN,4.6,4.6,4.5,0,4.5,0.1,3,0.068,"15,043"
289,PRIMEINSUR,32,32.8,32,0,31.8,0.2,48,2.26,"69,444"
290,PRIMELIFE,43,43,41.1,0,39.1,3.9,130,8.383,"195,765"
291,PRIMETEX,0,0,0,0,14.9,--,0,0,0
292,PROGRESLIF,50.7,51.5,49.6,0,49.1,1.6,140,1.175,"23,349"
293,PROVATIINS,32.6,33,32,0,31.6,1,130,2.111,"64,722"
294,PTL,46.7,47.1,46.7,0,47,-0.3,23,0.393,"8,385"
295,PUBALIBANK,29.1,29.2,29.1,0,29,0.1,3,0.013,439
296,PURABIGEN,18.6,18.7,18.2,0,18.2,0.4,17,0.179,"9,623"
297,QUASEMIND,32.4,33,32.1,0,32.1,0.3,144,3.645,"111,946"
298,QUEENSOUTH,13.8,13.9,13.7,0,13.7,0.1,18,0.382,"27,677"
299,RAHIMAFOOD,83,83.4,82,0,81.8,1.2,12,0.177,"2,139"
300,RAHIMTEXT,0,0,0,0,114.6,--,0,0,0
301,RAKCERAMIC,22.3,22.4,22.1,0,22.2,0.1,15,0.069,"3,112"
302,RANFOUNDRY,0,0,0,0,142,--,0,0,0
303,RDFOOD,26.6,26.7,25.8,0,25.6,1,382,21.802,"832,677"
304,RECKITTBEN,"3,937.8","3,970","3,805",0,"3,929.2",8.6,12,0.192,49
305,REGENTTEX,4,4,4,0,4.1,-0.1,2,0.004,"1,000"
306,RELIANCE1,21.7,21.8,21,0,21.2,0.5,136,30.335,"1,436,414"
307,RELIANCINS,53.1,53.7,53.1,0,52.8,0.3,2,0.01,185
308,RENATA,503.1,507.7,503,0,503.8,-0.7,44,0.485,963
309,RENWICKJA,639,639,639,0,595.2,43.8,3,0.032,50
310,REPUBLIC,28.2,28.3,27.6,0,27.8,0.4,15,0.496,"17,591"
311,RINGSHINE,4,4,3.9,0,4,0,28,0.527,"131,645"
312,ROBI,28.6,28.7,28.5,0,28.6,0,459,19.989,"699,627"
313,RSRMSTEEL,11.8,11.9,11.7,0,11.6,0.2,87,0.721,"61,248"
314,RUNNERAUTO,26.7,26.9,26.6,0,26.5,0.2,12,0.219,"8,183"
315,RUPALIBANK,23,23.3,23,0,23.1,-0.1,44,0.986,"42,727"
316,RUPALIINS,21.3,21.3,21.2,0,21.1,0.2,8,0.046,"2,150"
317,RUPALILIFE,94.3,95.1,93,0,92.3,2,224,4.965,"52,651"
318,SAFKOSPINN,13.2,13.7,13.1,0,13.4,-0.2,98,0.932,"70,174"
319,SAIFPOWER,12,12,11.9,0,11.9,0.1,11,0.096,"8,033"
320,SAIHAMCOT,14.7,14.8,14.6,0,14.6,0.1,71,2.315,"157,602"
321,SAIHAMTEX,14.8,14.9,14.8,0,14.8,0,22,0.476,"32,156"
322,SALAMCRST,20.6,21.6,20.2,0,20,0.6,826,22.937,"1,095,357"
323,SALVOCHEM,23.9,24.1,23.5,0,23.4,0.5,91,2.084,"87,001"
324,SAMATALETH,51,52.2,49.1,0,47.5,3.5,560,14.305,"279,698"
325,SAMORITA,57.4,57.5,57,0,57,0.4,64,0.532,"9,289"
326,SANDHANINS,24,24.2,23.6,0,23.6,0.4,186,4.024,"167,999"
327,SAPORTL,22.3,22.4,22.2,0,22.1,0.2,39,0.477,"21,400"
